粤联频道数据收集自网络上的分享260417开通IPV6
新闻HU32,#genre#

凤凰中文,rtmp://oc-play-ali.vipkid.com.cn/live/xianajiaoge-fhzw$oc
凤凰资讯,rtmp://oc-play-ali.vipkid.com.cn/live/xianajiaoge-fhzx$oc
凤凰香港,rtmp://oc-play-ali.vipkid.com.cn/live/xianajiaoge-fhxg$oc

凤凰中文,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8$北海联
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8$北海联

凤凰中文,http://115.44.140.170:18180/TV00000000000000000008@HHZT$天威hh
凤凰资讯,http://115.44.140.170:18180/TV00000000000000000009@HHZT$天威hh
凤凰香港,http://115.44.140.170:18180/TV00000000000000000024@HHZT$天威hh

凤凰中文,http://o11.163189.xyz/stream/live/fhzw/$ol
凤凰资讯,http://o11.163189.xyz/stream/live/fhzx/$ol

凤凰中文,http://223.95.198.3:8000/hls/20/index.m3u8$宁波移
凤凰资讯,http://183.236.161.115:8960/live1171.m3u8$阳江移

凤凰中文,http://156.238.251.122/fh.php?id=fhzw$fh
凤凰资讯,http://156.238.251.122/fh.php?id=fhzx$fh
凤凰香港,http://156.238.251.122/fh.php?id=fhhk$fh

凤凰中文,http://219.146.65.78:59902/tsfile/live/0117_2.m3u8$青岛信
凤凰中文,https://t.freetv.fun/live/feng-huang-zhong-wen-3.m3u8$free

凤凰中文,http://k.061899.xyz/k.php?id=fhzw$腾讯云
凤凰资讯,http://k.061899.xyz/k.php?id=fhzx$腾讯云
凤凰香港,http://k.061899.xyz/k.php?id=fhhk$腾讯云

凤凰中文,http://cdn6.bkpcp.top/tl/tuiliu.php?id=fhzw$cdn6
凤凰资讯,http://cdn6.bkpcp.top/tl/tuiliu.php?id=fhzx$cdn6
凤凰香港,http://cdn6.bkpcp.top/tl/tuiliu.php?id=fhhk$cdn6

凤凰中文,http://111.221.137.234:44330/tsfile/live/0141_2.m3u8$天威11

凤凰中文,http://zmgd.zyrnet.com:8888/hls/110/index.m3u8$中牟移
凤凰资讯,http://zmgd.zyrnet.com:8888/hls/109/index.m3u8$中牟移
凤凰香港,http://bziyunshao.synology.me:8890/bysid/85$me

凤凰中文,http://218.15.183.23:9901/tsfile/live/23037_1.m3u8$梅州信

凤凰中文,http://218.206.193.218:8888/hls/67/index.m3u8$郑州移
凤凰资讯,http://218.206.193.218:8888/hls/66/index.m3u8$郑州移

凤凰中文,http://183.237.95.108:9901/tsfile/live/1103_1.m3u8$梅州移
凤凰香港,http://139.196.228.200:5678/公众号搞机大师/fhx.php?id=hk$139

凤凰中文,http://go.bkpcp.top/mg/fhzw$go
凤凰资讯,http://go.bkpcp.top/mg/fhzx$go
凤凰香港,http://go.bkpcp.top/mg/fhhk$go

凤凰中文,http://m.061899.xyz/mg/fhzw$mg
凤凰资讯,http://m.061899.xyz/mg/fhzx$mg
凤凰香港,http://m.061899.xyz/mg/fhhk$mg

凤凰中文,http://218.104.239.114:9901/tsfile/live/1013_1.m3u8$福州联
凤凰资讯,http://218.104.239.114:9901/tsfile/live/1012_1.m3u8$福州联

凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt$t
凤凰资讯,http://t.061899.xyz/tl/js/js.php?id=fhwszxt$t
凤凰香港,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt$t

凤凰中文,http://j.s.bkpcp.top/js/fhzw$js
凤凰资讯,http://j.s.bkpcp.top/js/fhzx$js
凤凰香港,http://j.s.bkpcp.top/js/fhxg$js

凤凰资讯,http://120.238.5.44:1698/hls/85/index.m3u8$揭阳移
凤凰中文,http://120.238.5.44:1698/hls/86/index.m3u8$揭阳移
凤凰香港,http://120.238.5.44:1698/hls/87/index.m3u8$揭阳移

凤凰资讯,http://feilong123.vip/409990236/hktv.php?id=1$feilong时有
凤凰中文,http://feilong123.vip/409990236/hktv.php?id=2$feilong
凤凰香港,http://feilong123.vip/409990236/hktv.php?id=3$feilong

凤凰中文,http://mypanel-4k.com:80/me52pjdqa6/dt2t9r16ja/1163868

凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27$iptv#http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0$荆州信

CCTV4,http://zh.sqitv.com:888/hls/4/index.m3u8$商丘信
CCTV13,http://zh.sqitv.com:888/hls/13/index.m3u8$商丘信

CCTV4,http://124.90.45.52:9901/tsfile/live/0004_1.m3u8$杭州联
CCTV13,http://124.90.45.52:9901/tsfile/live/0013_1.m3u8$杭州联

CCTV4,http://47.119.24.76:59093/631780421$深阿里
CCTV13,http://47.119.24.76:59093/608807423$深阿里

CCTV4,http://116.76.254.170:44330/tsfile/live/0004_1.m3u8$天威16
CCTV13,http://116.76.254.170:44330/tsfile/live/0013_1.m3u8$天威16

CCTV4,http://58.17.89.7:8081/hls/4/index.m3u8$鹰潭联
CCTV13,http://58.17.89.7:8081/hls/13/index.m3u8$鹰潭联

CCTV4,http://60.13.52.236:65500/newlive/live/hls/4/live.m3u8$兰州联
CCTV13,http://60.13.52.236:65500/newlive/live/hls/13/live.m3u8$兰州联
CCTV13,http://60.13.52.236:65500/newlive/live/hls/16/live.m3u8$兰州联

CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8$74

CCTV4,http://fuxin.yunjifei.top:999/tsfile/live/0004_1.m3u8$阜新信
CCTV13,http://fuxin.yunjifei.top:999/tsfile/live/0013_1.m3u8$阜新信

CCTV4,http://223.95.198.3:8000/hls/4/index.m3u8$宁波移
CCTV13,http://223.95.198.3:8000/hls/13/index.m3u8$宁波移

CCTV4,http://2g545s5578.qicp.vip:59901/tsfile/live/0004_1.m3u8$安阳联
CCTV13,http://2g545s5578.qicp.vip:59901/tsfile/live/0013_1.m3u8$安阳联

CCTV4,http://119.39.9.8:9901/tsfile/live/0004_1.m3u8$长沙联
CCTV13,http://119.39.9.8:9901/tsfile/live/0013_1.m3u8$长沙联

CCTV4,http://223.75.149.129:9906/tsfile/live/0004_1.m3u8$神农移
CCTV13,http://223.75.149.129:9906/tsfile/live/0013_1.m3u8$神农移

CCTV4,http://113.25.252.226:9901/tsfile/live/1008_1.m3u8$晋中信
CCTV13,http://113.25.252.226:9901/tsfile/live/1017_1.m3u8$晋中信

CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4$cdn6
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13$cdn6

CCTV4,http://36.136.38.87:9901/tsfile/live/0004_1.m3u8$南宁移
CCTV13,http://36.136.38.87:9901/tsfile/live/0013_1.m3u8$南宁移

CCTV4,http://b.sohu.blog:8888/newlive/live/hls/4/live.m3u8$绵阳信
CCTV13,http://b.sohu.blog:8888/newlive/live/hls/13/live.m3u8$绵阳信

